FRONTIER: ELITE II - Copy protection codes			
Note: These codes are for the English version of the game only.			
			
Page	Word	Letter	Character
2	1	1	U
2	2	1	T
2	3	3	S
2	6	2	U
3	1	4	P
3	3	3	T
3	4	3	T
3	4	4	V
4	1	5	I
4	3	2	O
5	1	3	M
5	1	4	D
5	2	5	G
6	1	1	Z
6	1	2	A
6	2	1	I
6	6	2	M
7	1	3	C
7	2	1	S
7	2	3	B
7	3	3	S
8	1	2	I
8	3	2	I
9	1	3	O
9	1	4	C
9	2	1	I
9	2	2	E
9	2	4	W
10	1	1	F
10	1	5	S
10	3	6	I
10	4	7	P
12	1	1	N
12	1	9	O
12	3	5	C
13	1	3	S
13	1	4	A
13	2	2	E
13	2	4	D
13	3	2	B
13	3	3	R
14	1	4	B
14	2	2	F
14	2	3	F
14	3	4	W
15	1	2	A
15	2	2	D
15	5	1	S
16	1	2	D
16	2	2	O
16	2	2	O
16	3	1	D
16	4	1	M
17	1	1	M
17	1	4	A
17	1	4	A
17	2	2	O
17	2	4	T
17	3	1	S
17	3	3	T
17	3	4	F
18	1	1	U
18	1	2	V
18	1	4	D
18	3	1	C
18	4	4	C
18	5	1	M
19	3	1	S
19	3	2	T
19	4	1	M
20	1	5	F
20	1	6	D
20	5	2	B
20	8	2	F
21	1	3	T
21	1	4	O
21	2	3	A
21	2	3	A
22	1	8	T
22	1	10	R
22	2	4	R
22	2	4	R
22	3	3	C
23	1	1	H
23	1	1	H
23	2	1	J
24	1	5	D
24	2	4	W
24	3	2	P
25	6	1	R
26	1	1	W
26	2	1	P
26	2	3	P
26	3	4	M
26	3	4	M
27	3	1	E
27	3	1	E
27	3	4	R
27	4	1	F
27	5	1	T
28	1	5	I
28	2	3	O
28	3	1	S
28	3	2	V
28	3	3	I
28	4	3	G
29	1	1	S
29	1	4	F
29	1	5	S
29	1	6	B
29	2	3	T
30	1	1	L
30	1	2	S
30	1	4	G
30	2	2	T
30	2	4	I
30	2	5	A
30	3	4	Y
31	1	1	L
31	1	5	R
31	4	1	D
31	4	1	D
32	1	3	A
32	1	4	E
32	2	2	M
32	2	2	M
32	3	1	D
32	3	2	A
33	1	2	N
33	1	4	O
33	2	3	T
33	2	4	D
36	1	3	W
36	1	5	A
36	2	3	F
36	2	5	C
36	2	5	C
36	3	1	W
36	3	3	D
36	4	3	L
37	1	4	A
37	2	3	P
37	2	5	S
37	3	2	H
38	1	1	O
38	1	2	Q
38	2	1	W
38	2	2	O
38	2	4	U
38	3	3	C
39	1	4	I
39	2	1	C
39	2	2	R
39	3	4	N
40	1	5	S
40	2	1	M
40	2	3	T
40	2	5	V
41	1	1	D
41	1	2	E
41	1	2	E
41	1	5	E
41	2	2	S
41	2	2	S
41	2	3	D
42	2	1	A
42	2	3	C
42	3	1	R
43	1	4	S
43	2	2	T
43	3	1	R
43	4	1	M
43	4	1	M
44	1	2	G
44	2	2	M
44	4	1	H
45	1	4	E
45	1	5	I
45	2	1	M
45	2	5	Y
45	3	2	F
45	4	2	Y
46	1	4	T
46	2	3	B
46	2	4	M
46	3	4	N
47	1	1	C
47	1	2	E
47	2	1	A
47	2	2	E
47	3	1	S
48	1	4	R
48	1	5	S
48	2	1	R
48	2	1	R
48	3	2	F
48	3	2	F
48	3	3	K
50	1	1	S
50	1	1	S
50	1	3	O
50	4	3	B
51	1	4	A
51	1	4	A
51	4	1	G
52	1	4	L
52	2	1	S
52	3	3	I
53	1	4	L
53	1	5	G
56	1	1	B
56	1	3	F
56	1	4	C
56	2	1	S
56	2	4	W
56	3	4	H
57	1	2	S
57	1	3	A
57	1	4	U
57	3	3	R
57	4	3	Q
58	1	1	T
58	1	2	P
58	1	3	U
58	1	3	U
58	2	1	A
58	3	3	T
59	1	1	J
59	1	1	J
59	4	2	I
59	4	2	I
60	1	1	S
60	1	3	U
60	2	1	I
61	2	1	B
61	2	1	B
61	3	1	B
61	4	2	C
62	1	2	I
62	2	2	A
62	3	2	A
63	1	2	W
66	1	4	S
66	1	4	S
66	1	5	A
66	2	1	G
66	2	3	P
67	1	4	U
67	1	4	U
67	2	4	W
67	2	4	W
68	1	1	C
68	1	4	W
68	2	1	T
68	2	3	R
68	3	1	O
68	3	1	O
68	3	3	I
70	1	1	M
70	3	1	B
71	1	1	B
71	2	2	C
71	2	2	C
71	3	2	S
71	3	2	S
72	1	4	B
72	3	2	L
72	4	2	S
73	1	1	D
73	1	2	S
73	1	3	R
74	1	2	I
74	2	2	D
75	1	3	F
75	1	5	O
78	2	3	C
79	1	3	H
79	1	4	L
80	1	2	M
80	4	1	F
84	1	1	T
84	1	3	R
84	1	4	V
84	2	1	B
85	2	2	S
86	1	2	T
86	3	1	T
88	1	3	T
90	1	3	O
90	2	3	T
90	3	3	T
92	1	1	F
92	1	4	L
92	1	4	L
92	3	1	W
93	2	2	P
93	2	3	F
93	2	3	F
			
