;
; enemy car weapon offsets
;
; graphic types of cars
;       0 generic sports car
;       1 Truck rig with rear gunner
;       2 Bike 1
;       3 Off road pickup
;       4 Twin cycle
;       5 Mako (sport car)
;       6 Oil Tanker
;       7 Cube Van
;       8 Checker cab
;       9 Compact car
;       10 Off road 2
;       11 Overhead Spinner
;       12 Overhead Blimp
;       13 Rocket car
;       14 Chopper bike
;       15 Bike 3
;       16 Nomad
;       17 Tank and turret
;       18 Bike 4
;       19 Monster Truck
;       20 forklift
;       21 generic limo
;       22 sporty race car
;       23 big bus
;       24 weird vehicle
;       25 omnland hammer car
;       26 stealth plane
;       27 another weird vehicle
;       28 cargo plane
;       29 guy on bike
;       30 small k-car
;       31 cool van
;       32 big black limo
;       33 guy on bike
;       34 spiky rebel car
;       35 farm tractor
;       36 hang glider
;       37 cop car
;       38 mean 2/3 wheel bike
;       39 clown car
;       40 rabbit car
;       41 truck with parcels
;       42
;       43 vw bug
;       44 crop duster
;       45 wind van
;       45 unused
;       46 unused
;       47 unused
;       48 unused
;       49 unused
;
;       size            distance/angle
;       left gun        distance/angle
;       right gun       distance/angle
;       cannon          distance/angle
;       missile         distance/angle
;       plasma          distance/angle
;       mines           distance/angle
:       unused          distance/angle

,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 0 sport
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 1 rig
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 2 cycle
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 3 offroad
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 4 twin cycle
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 5 mako
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 6 tanker
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 7 cube van
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 8 cab
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 9 compact
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 10 off road 2
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 11 spinner
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 12 blimp
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 13 rocket
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 14 chopper 3
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 15 rn bike
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 64 nomad
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 17 tank
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 18 yz bike
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 19 Monster
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 20 Fork lift
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 21 generic limo
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 22 sporty race car
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 23 big bus
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 24 weird vehicle
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 25 omnland hammer car
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 26 stealth plane
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 27 another weird vehicle
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 28 cargo plane
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 29 guy on bike
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 30 small k-car
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 31 cool van
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 32 big black limo
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 33 guy on bike
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 34 spiky rebel car
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 35 farm tractor
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 36 hang glider
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 37 cop car
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 38 mean 2/3 wheel bike
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 39 clown car
