
                        Performance Profile Database
                        ----------------------------

This file contains a log of all the performance profiling measurements that
SciTech Software has run on their extensive collection of PCI and VLB based
video cards. All measurements were run on the same machines using exactly
the same software and version of UniVBE (utilitsing full VBE 2.0 support
for maximum performance in all cases).

The following lists the video modes that were profiled and their resolution:

    13h     - 320x200x8,  Standard VGA
    153h    - 320x200x8,  banked framebuffer (SciTech SuperVGA mode)
    101h    - 640x480x8,  banked framebuffer
    110h    - 640x480x15, banked framebuffer
    111h    - 640x480x16, banked framebuffer
    112h    - 640x480x24, banked framebuffer
    128h    - 640x480x32, banked framebuffer
    4153h   - 320x200x8,  linear framebuffer (SciTech SuperVGA mode)
    4101h   - 640x480x8,  linear framebuffer
    4110h   - 640x480x15, linear framebuffer
    4111h   - 640x480x16, linear framebuffer
    4112h   - 640x480x24, linear framebuffer
    4128h   - 640x480x32, linear framebuffer

The following results were obtained on the following system configuration:

    Intel Pentium P90 ISA/PCI motherboard
    Award 'Energy Star' BIOS
    256Kb cache, 16Mb DRAM

+---------------------------------+-------+-----------------+-----------------+
| Video card name                 |  mode | clears/s (Mb/s) | bitBlt/s (Mb/s) |
+---------------------------------+-------+-----------------+-----------------+
| Baseline/system RAM             |   N/A |     N/A (37.33) |     N/A (36.14) |
+---------------------------------+-------+-----------------+-----------------+
| #9 GXE64-Pro PCI 2Mb VRAM       |   13h |  347.04 (21.01) |  347.54 (21.04) |
| #9 GXE64-Pro PCI 2Mb VRAM       |  153h |  621.17 (37.61) |  589.15 (35.67) |
| #9 GXE64-Pro PCI 2Mb VRAM       |  101h |  157.84 (46.07) |  125.60 (36.66) |
| #9 GXE64-Pro PCI 2Mb VRAM       |  110h |   78.92 (46.08) |   54.18 (31.63) |
| #9 GXE64-Pro PCI 2Mb VRAM       |  111h |   78.92 (46.08) |   54.09 (31.58) |
| #9 GXE64-Pro PCI 2Mb VRAM       |  128h |   39.47 (46.08) |   26.96 (31.48) |
| #9 GXE64-Pro PCI 2Mb VRAM       | 4153h |  622.10 (37.66) |  590.37 (35.74) |
| #9 GXE64-Pro PCI 2Mb VRAM       | 4101h |  157.52 (45.98) |  125.24 (36.56) |
| #9 GXE64-Pro PCI 2Mb VRAM       | 4110h |   78.73 (45.96) |   54.04 (31.55) |
| #9 GXE64-Pro PCI 2Mb VRAM       | 4111h |   78.73 (45.96) |   53.95 (31.49) |
| #9 GXE64-Pro PCI 2Mb VRAM       | 4128h |   39.37 (45.97) |   26.89 (31.40) |
+---------------------------------+-------+-----------------+-----------------+
| ATI GU Pro PCI 2Mb VRAM         |   13h |  236.19 (14.30) |  236.07 (14.29) |
| ATI GU Pro PCI 2Mb VRAM         |  153h |  236.07 (14.29) |  235.85 (14.28) |
| ATI GU Pro PCI 2Mb VRAM         |  101h |   49.18 (14.35) |   49.15 (14.35) |
| ATI GU Pro PCI 2Mb VRAM         |  110h |   24.59 (14.35) |   24.58 (14.35) |
| ATI GU Pro PCI 2Mb VRAM         |  111h |   24.59 (14.35) |   24.58 (14.35) |
| ATI GU Pro PCI 2Mb VRAM         |  112h |    7.38 ( 6.46) |   16.39 (14.35) |
| ATI GU Pro PCI 2Mb VRAM         |  128h |   12.29 (14.35) |   12.29 (14.35) |
| ATI GU Pro PCI 2Mb VRAM         | 4153h |  805.18 (48.75) |  647.59 (39.21) |
| ATI GU Pro PCI 2Mb VRAM         | 4101h |  166.82 (48.70) |  123.82 (36.14) |
| ATI GU Pro PCI 2Mb VRAM         | 4110h |   83.41 (48.70) |   54.00 (31.53) |
| ATI GU Pro PCI 2Mb VRAM         | 4111h |   83.44 (48.71) |   53.92 (31.48) |
| ATI GU Pro PCI 2Mb VRAM         | 4112h |   13.31 (11.66) |   35.86 (31.40) |
| ATI GU Pro PCI 2Mb VRAM         | 4128h |   41.68 (48.67) |   26.89 (31.40) |
+---------------------------------+-------+-----------------+-----------------+
| ATI Gr XPression PCI 2Mb DRAM   |   13h |  236.19 (14.42) |  236.09 (14.41) |
| ATI Gr XPression PCI 2Mb DRAM   |  153h |  236.07 (14.41) |  235.90 (14.40) |
| ATI Gr XPression PCI 2Mb DRAM   |  101h |   49.17 (14.41) |   49.15 (14.40) |
| ATI Gr XPression PCI 2Mb DRAM   |  110h |   24.57 (14.40) |   24.56 (14.39) |
| ATI Gr XPression PCI 2Mb DRAM   |  111h |   24.57 (14.39) |   24.56 (14.39) |
| ATI Gr XPression PCI 2Mb DRAM   |  112h |    7.32 ( 6.44) |   16.38 (14.39) |
| ATI Gr XPression PCI 2Mb DRAM   |  128h |   12.27 (14.38) |   12.27 (14.38) |
| ATI Gr XPression PCI 2Mb DRAM   | 4153h |  858.21 (52.38) |  631.82 (38.56) |
| ATI Gr XPression PCI 2Mb DRAM   | 4101h |  157.34 (46.09) |  118.42 (34.69) |
| ATI Gr XPression PCI 2Mb DRAM   | 4110h |   63.38 (37.14) |   51.37 (30.10) |
| ATI Gr XPression PCI 2Mb DRAM   | 4111h |   63.38 (37.14) |   51.30 (30.06) |
| ATI Gr XPression PCI 2Mb DRAM   | 4112h |   10.89 ( 9.57) |   30.90 (27.16) |
| ATI Gr XPression PCI 2Mb DRAM   | 4128h |   23.43 (27.45) |   18.77 (21.99) |
+---------------------------------+-------+-----------------+-----------------+
| ET4000/W32p rev C PCI 2Mb DRAM  |   13h |  741.75 (45.27) |  617.05 (37.66) |
| ET4000/W32p rev C PCI 2Mb DRAM  |  153h |  740.92 (45.22) |  617.19 (37.67) |
| ET4000/W32p rev C PCI 2Mb DRAM  |  101h |  154.36 (45.22) |  120.12 (35.19) |
| ET4000/W32p rev C PCI 2Mb DRAM  |  110h |   77.17 (45.22) |   54.13 (31.72) |
| ET4000/W32p rev C PCI 2Mb DRAM  |  111h |   77.16 (45.21) |   54.08 (31.69) |
| ET4000/W32p rev C PCI 2Mb DRAM  |  112h |   10.58 ( 9.30) |   35.96 (31.60) |
| ET4000/W32p rev C PCI 2Mb DRAM  | 4153h |  741.73 (45.27) |  617.70 (37.70) |
| ET4000/W32p rev C PCI 2Mb DRAM  | 4101h |  153.84 (45.07) |  119.72 (35.07) |
| ET4000/W32p rev C PCI 2Mb DRAM  | 4110h |   76.88 (45.04) |   53.97 (31.62) |
| ET4000/W32p rev C PCI 2Mb DRAM  | 4111h |   76.87 (45.04) |   53.91 (31.59) |
| ET4000/W32p rev C PCI 2Mb DRAM  | 4112h |   10.59 ( 9.31) |   35.85 (31.51) |
+---------------------------------+-------+-----------------+-----------------+
| Sierra Falcon/64 PCI 2Mb DRAM   |   13h |  782.52 (47.76) |  560.59 (34.22) |
| Sierra Falcon/64 PCI 2Mb DRAM   |  153h |  836.55 (51.06) |  572.10 (34.92) |
| Sierra Falcon/64 PCI 2Mb DRAM   |  101h |  166.14 (48.67) |  111.27 (32.60) |
